不雜,མ་འདྲེས་པ
勤修定,ཏིང་ངེ་འཛིན་ལ་བརྩོན་པ
處衆,འཁོར་གྱི་ནང་དུ
道理極成眞實,རིགས་པས་བསྐྱེད་པའི་དེ་ཁོ་ན
非道非處非時,ཡན་ལག་མ་ཡིན་པ་དང་ཡུལ་མ་ཡིན་པ་དང་དུས་མ་ཡིན་པ
煩惱事,ཉོན་མོངས་པ་རྣམས་ཀྱི་གཞི
令成餘物,དེ་ལས་གཞན་དུ་བསྒྱུར་ཞིང་བསྒྲུབ་པ
有來求,བྱེད་དུ་བཅུག་པ
我我所相,བདག་ཏུ་འཛིན་པ་དང་བདག་གིར་འཛིན་པའི་མཚན་མ
苦諦,སྡུག་བསྔལ་གྱི་བདེན་པ
尸羅艱難,ཚུལ་ཁྲིམས་རྒུད་པ
定於一境,རྩེ་གཅིག་མཉམ་པར་གཞག་པ
衰亡,སྡུག་བསྔལ
熱病,རིམས་ཀྱི་ནད
不現見體,ལྐོག་ན་འདུག་པའི་ངོ་བོ་ཉིད
用水,ཆུ་འཐུང་བ
遠離,རྣམ་པར་གྲོལ་བ
太早,ཧ་ཅང་ཕྱི་དྲོར་གྱུར་ན
勸勉,ཡང་དག་པར་འཛིན་དུ་འཇུག་པ
調弄,སྟིང་བར་བྱེད་པ
發起,འབྱོར་བར་འགྱུར་བ
入,འགྲོ་བར་བྱེད་པ
惡思所思,ཉེས་པར་བསམ་པ་སེམས་པ
身行,ལུས་ཀྱི་འདུ་བྱེད
善説法者,ཆོས་བསྟན་པ
動亂心,སེམས་བསྐྱོད་ཅིང་ག-ཡེང་བར་བྱེད་པ
淨行者,རྣམ་པར་དག་པའི་རྣལ་འབྱོར་བ
無間施,རྟག་ཏུ་སྦྱིན་པར་བྱེད་པ
減劣,སྒྱིད་ལུག་པ
鉢油,སྣོད་འབྲུ་མར
罵弄訶責終不反報,ཁྲོས་ཀྱང་ཕྱིར་མི་ཁྲོ་བ
沒已,ཤི་ན
種種相法,ཆོས་རྣམ་པ་སྣ་ཚོགས
循環研竅摩咀理迦,ངེས་པར་དྲངས་པའི་མ་མོ
微妙聖道,ལམ་གྱི་མཆོག
種子隨逐,ས་བོན་དང་ལྡན་པ
不勸,ཡང་དག་པར་འཛིན་དུ་མི་འཇུག་པ
有取,ཉེ་བར་ལེན་པ་དང་མཐུན་པར་བཅས་པ
本煩惱,ཉོན་མོངས་པ་རྩ་བ
次第,རྗེས་སུ་མཐུན་པ
論多所作法,སྨྲ་བ་ལ་གཅེས་སྤྲས་བྱེད་པའི་ཆོས
當來後有種子,ཕྱི་མ་ལ་ཡང་སྲིད་པར་སྐྱེ་བའི་ས་བོན
無造涅槃,ལེན་པ་མེད་པར་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བ
善知心増,འཕེལ་བ་ལ་མཁས་པ
白四羯磨,གསོལ་བ་དང་བཞིའེ་ལས
令心極略,སེམས་མངོན་པར་བསྡུས་པ
證諸法,ཆོས་རྟོགས་པ
謗眞實事,ཡོད་པའི་དངོས་པོ་ལ་སྐུར་པ་འདེབས་པ
有處,ལ་ལར
實有,ཡོད་པ
不自高擧,བདག་ལ་མི་སྟོད་པ
綺語者,ཚིག་ཀྱལ་པ་ཅན
究竟明觸生受倶行解脱,མཐར་ཐུག་པའི་རིག་པའི་འདུས་ཏེ་རེག་པ་ལས་བྱུང་བའི་ཚོར་བ་དང་ལྡན་པའི་རྣམ་པར་གྲོལ་བ
有體事,ཡོད་པའི་དངོས་པོ
堅硬聚,འདུས་པ་སྲ་བ
寄託,ཡིད་གཅུགས་པ
私多,སི་ཏ
饒益他,གཞན་ལ་ཕན་པ
屬,ཆུང་མ
趣入熏修,ཡོངས་སུ་བསྒོམས་པ་དེ་ལ་སྙོམས་པར་འཇུག་པར་བྱེད་པ
所依止,རྟེན་དུ་འགྱུར་བ
非家,ཁྱིམ་མེད་པ
重,ཤིན་ཏུ་ཚབས་ཆེ་བ
利益,ཕན་པ
道果已證得,ལམ་--ཋོབ་པ
心有勇悍,སེམས་སྤྲོ་བ
尋,རྣམ་པར་དཔྱོད་པ
恭敬,བཀུར་སྟིར་བྱེད་པ
形量亂,གྲངས་འཁྲུལ་བ་འམ་དབྱིབས་འཁྲུལ་བ
身羸劣,ལུས་ཉམ་ཆུང་བ
不深推度,མངོན་པར་མི་རྟོག་པ
應生踊躍歡喜忍受,ཡིད་དགའ་བར་གྱུར་པས་ཉམས་སུ་བླང་བར་བྱ་ན
現在世現前別境,སོ་སོའི་ཡུལ་ད་ལྟར་བྱུང་བ་མངོན་དུ་གྱུར་པ
斫截諸支分,ཡན་ལག་དང་ཉིང་ལག་བཅད་པ
中際空,དབུས་ཀྱི་མཐའ་སྟོང་ཉིད
輕弄,བསྟིང་བ
求請,ནོད་པ
聲聞乘,ཉན་ཐོས་ཀྱི་ཐེག་པ
文義,ཚིག་འབྲུ་དང་དོན
爲脱---苦,སྡུག་བསྔལ་ལས་རྣམ་པར་ཐར་པར་བྱ་བའི་ཕྱིར
諾瞿陀,ཉ་གྲོ་དྷ
日---夜,ཞག
遇得,རྙེད་པར་གྱུར་པ
六識身,རྣམ་པར་ཤེས་པའི་ཚོགས་དྲུག་པོ
常殷重習,རྟག་ཏུ་བྱེད་པ་དང་གུས་པར་བྱེད་པ
起慈心,བྱམས་པར་འགྱུར་བ
爲作憶念,དྲན་པར་བྱ་བ་--ཌགོས་པ
積集,སོགས་པ
雪,གངས
染汚末那,ཡིད
著,དང་དུ་ལེན་པར་བྱེད་པ
一切種饒益有情戒,སེམས་ཅན་གྱི་དོན་གྱི་རྣམ་པ་ཐམས་ཅད་བྱ་བའི་ཚུལ་ཁྲིམས་ཅན
後得世間智,རྗེས་ལས་ཐོབ་པ་འཇིག་རྟེན་པའི་ཤེས་པ
惡解脱,སྡིག་པ་ལས་རྣམ་པར་ཐར་པར་འགྱུར་བ
諸欲及受用,འདོད་པའི་ལོངས་སྤྱོད
形質殊妙,བཟང
隨入,རྗེས་སུ་ཞུགས་པ
背念,དྲན་པ་ཕྱོགས་པ
思惟者,བསམས་པ་རྣམས
所依止,གནས་པ
善幻者,སྒྱུ་མ་མཁན་མཁས་པ
忍辱,བཟོད་པ
應勤修學,བསླབ་པར་བྱ་བ
良,གཤིན་པ
轉,རྗེས་སུ་འཇུག་པ
大財寶,ལོངས་སྤྱོད་ཆེ
隨轉,ཕྱི་བཞིན་འབྲང་བ
相現行,མཚན་མ་ཀུན་ཏུ་འབྱུང་བ
苦胎藏,སྡུག་བསྔལ་གྱི་སྙིང་པོ
憚,རྗེ་ས
變壞,འགྱུར་བ་ཉིད
聰叡,མཛངས་པ་མཁས་པ
應---教授,ཡང་དག་པར་ལེན་དུ་གཞུག་དགོས་པ
宿長,གནས་བརྟན
有貪性,འདོད་ཆགས་དང་བཅས་པ་ཉིད
燒然,རིམས་ནད
教誡,རྗེས་སུ་སྟོན་པར་བྱེད་པ
莊嚴心,སེམས་ཀྱི་རྒྱན
一刹那,སྐད་ཅིག་གཅིག
懈怠衆生,ལེ་ལོའི་རང་བཞིན་ཅན
長養其心,སེམས་གསོས
鼻舌兩界,སྣའི་ཁམས་དང་ལྕེའི་ཁམས
洗浣,བཀྲུས་ནས
未正解脱,ཡང་དག་པར་རྣམ་པར་གྲོལ་བར་མི་འགྱུར་བ
綜集,ཚང་བ
義深文句淺,དོན་ཟབ་ལ་ཚིག་དང་ཡི་གེ་གསལ་བ
止息,བག་ཡངས་སུ་བྱས་པ
不生愛味,རོ་མྱོང་བར་མི་བྱེད་པ
不擾,ཡོངས་སུ་མ་གཏུགས་པ
發正願心,ཆེད་དུ་གཏད་ནས་སེམས་སྐྱེད་པར་བྱེད་པ
相,སྔ་ལྟས
權時轉,དེའི་མོད་ལ་འཇུག་པ
正,ལེགས་པ་ཁོ་ནར
醜陋,བྱད་ངན་པ
安住相,གནས་པའི་མཚན་མ
斷截末摩死苦,གནད་འཆད་པའི་འཆི་བའི་སྡུག་བསྔལ
不愛味,རོ་མྱོང་བར་མི་བྱེད་པ
尚論,རྨད་ཁྱེར་བ་སྨྲ་བ
善位,དགེ་བའི་གནས་སྐབས
斷,རྒྱུན་ཆད་དུ་ཟིན་པ
行,སོང་བ
勝解定清淨,མོས་པས་སྙམས་པར་འཇུག་པ་རྣམ་པར་དག་པ
應善懇到,ཤིན་ཏུ་ལེགས་པ
最勝根本靜慮,བསམ་གཏན་གྱི་དངོས་གཞི་གཙོ་བོ
紅蓮,པད་མ་ལྟར་གས་པ
諸漏永盡,ཟག་པ་ཟད་པ
陵蔑,སྨོད་པར་བྱེད་པ
不顚倒心,སེམས་ཕྱིན་ཅི་ལོག་ཏུ་མ་གྱུར་པ
能障,སྒྲིབ་པར་བྱེད་པ
王所王國,ཡུལ་འཁོར
不結實,འབྲས་བུ་མི་འཆགས་པ
分別貪,ཀུན་ཏུ་རྟོག་པའི་འདོད་ཆགས
了知,རྟོགས་པ
趣入門隨順正行,ཇུག་པའི་སྒོ་དང་འཚམ་པའི་ལམ
出離尸羅,ངེས་པར་འབྱིན་པའི་ཚུལ་ཁྲིམས་ཉིད
令---趣向世間離欲,འཇིག་རྟེན་པའི་འདོད་ཆགས་དང་བྲལ་བར་འགྱུར་བ
深固,ངེས་པར་ཞེན་པ
靜慮地,བསམ་གཏན་གྱི་ས
大法者,ཆོས་ཆེན་པོ
爲資生具,ཡོ་བྱད་དུ་གྱུར་པ
性深愛著,རང་བཞིན་གྱིས་བྱམས་པ
現行,སྤྱོད་པ
顯隱密處,གསང་བའི་གནས་རྣམ་པར་དབྱེ་བ
勞倦,བརྩལ་བ་དང་འབད་པ
大義利益安樂,དོན་དང་ཕན་པ་དང་བདེ་བ
安隱住,རེག་པར་གནས་པ
居憒鬧者,འདུ་འཛིའི་ནང་ན་གནས་པ
恒作恒轉,རྟག་ཏུ་བྱེད་ཅིང་རྟག་ཏུ་འཇུག་པ
牛皮,གླང་གི་ཀོ་བ
外道賊,མུ་སྟེགས་ཅན
他所損害所作變異,གཞན་གྱི་གནོད་པ་བྱས་པ་ལས་གྱུར་པའི་འགྱུར་བ
不善修心,སེམས་ལེགས་པར་བསྒོམས་པ་མ་ཡིན་པ
佛境界,སངས་རྒྱས་ཀྱི་ཡུལ
有情饒益,སེམས་ཅན་གྱི་དོན
染色,ཚོན
有徳,ཡོན་ཏན་ཡོད་པ
無戲論無漏界,ཟག་པ་མེད་པའི་ཁམས་སྤྲོས་པ་མེད་པ
非染,ཉོན་མོངས་པ་ཅན་མ་ཡིན་པ
衣事,གོས་ཀྱི་དངོས་པོ
由法爾,ཆོས་ཉིད་ཀྱིས
受,ཁས་ལེན་པ
年耆衰邁,རྒན་པོ་རྒས་པ་དགོག་ཏུ་ཕྱིན་པ
熏修相續,ཡོངས་སུ་བསྒོམས་པའི་རྒྱུད་ཅན་དུ་གྱུར་པ
正趣,ཡང་དག་པར་སོང་བ
超,ཡང་དག་པར་འདས་པ
作事,མཛད་པ
趣欲,འགྲོ་བར་འདོད་པ
寂靜,ནང་དུ་ཡང་དག་གཞག་པ
歡喜事,མཆོག་ཏུ་དགའ་བའི་དངོས་པོ
能辦,འགྲུབ་པ་དང་བཅས་པ
深,ཟབ་མོ
等---者,ལྟ་བུར་གྱུར་པ
施,ཡང་དག་པར་གཏང་བ
不調善,མ་དུལ་བ
肩,དཔུང་མགོ
大城,གྲོང་ཁྱེར་ཆེན་པོ
此世他世樂靜慮,འདི་དང་གཞན་དུ་བདེ་བར་འགྱུར་བའི་བསམ་གཏན
巨富,ཕྱུག་པོ་ཉིད
依止圓滿,ལུས་ཕུན་སུམ་ཚོགས་པ
從---乃至,ནས་བཟུང་སྟེ་---བར་དུ
登,འཛེག་ཏུ་འཇུག་པ
加行行邊際菩薩忍,སྦྱོར་བ་ལས་བྱུང་བའི་སྤྱོད་པ་མཐར་ཐུག་པའི་བྱང་ཆུབ་སེམས་དཔའ་བ
二界妙甘露門,ཁམས་གཉིས་ཀྱི་བདུད་རྩིའི་སྒོ
隨覺想,རྗེས་སུ་སད་པ
所作非加行,བྱ་བའི་སྦྱོར་བ་མེད་པ
復還退起,ཡང་ཕྱིར་ལྡོག་པ
次第,མཐར་ཆགས་ཀྱིས
佛教體性,སངས་རྒྱས་ཀྱི་བཀའི་ལུས
覩見,ལྟ་བ
音樂,རོལ་མོའི་སྒྲ
慢執,ང་རྒྱལ
吝惜,ཀུན་ཏུ་འཛིན་པ
思求,ཡོངས་སུ་ཚོལ་བར་བྱེད་པ
攝持,བསྡུ་བར་འགྱུར་བ
百拘胝,བྱེ་བ་ཕྲག་བརྒྱ
不能漂沒,དེད་པར་མི་ནུས་པ
執我,བདག་གོ་སྙམ་པ
顯了,རྣམ་པར་ཕྱེ་བ
聖教,རྗེས་སུ་གཏམས་པ
無染汚,ཉོན་མོངས་པ་ཅན་མ་ཡིན་པ
安樂成滿,ཡོངས་སུ་གྲུབ་པའི་བདེ་བ
質直,གནམ་པ
令---發生,སྐྱེད་པར་འགྱུར་བ
分別起,རྟོག་པས
比,བསྒྲུན་པ
諍,རྩོད་པ
防護,བསྲུང་བར་བྱེད་པ
心觀,སེམས་དང་དཔྱོད་པ
異熟,རྣམ་པར་སྨིན་པར་བྱེད་པ
少欲,འདོད་ཆེན་ཆུང་བ
長時,ཡུན་རིང་པོ
加行精進,སྦྱོར་བའི་བརྩོན་འགྲུས
第一義求,དོན་དམ་པ་ཚོལ་བ
得過,ཐལ་བ
境事,དངོས་པོ
沒來,ཤི་འཕོས་ནས
次第,མཐར་གྱིས
見不可壞,ལྟ་བ་མི་ཕྱེད་པ
智漸次,ཤེས་པའི་གོ་རིམས
觀,རྟོག་པ
違害,ཕོངས་པ
能策,རབ་ཏུ་འཛིན་པ
園林,སྐྱེད་མོས་ཚལ
善解,མཁས་པ
能感惡趣,ངན་འགྲོར་འགྲོ་བར་འགྱུར་བ
攝斂,ལེགས་པར་བསྒྲིམས་པ
往善趣,བདེ་འགྲོར་འགྲོ་བ
應得未來,འཐོབ་པ་མ་འོངས་པ
所染,ཀུན་ནས་ཉོན་མོངས་པ་ཅན་དུ་འགྱུར་བ
發言,ཚིག
拊膺,བྲང་བརྡུང་བ
廣大天之富樂,མཐོ་རིས་ཀྱི་རྣམ་པར་འབྱོར་བ་ཆེན་པོ
鬘,ཕྲེང་བ་ཅན
不待扶侍,སུམ་ཀྱང་མ་བརྟེན་པར
無見,བསྟན་དུ་མེད་པ
身證,ལུས་ཀྱིས་མངོན་སུམ་དུ་བྱས་པ
資財,རྫས་དང་ཡོ་བྱད
蘆𥭳,འདམ་བུ
種性者,རིགས་ལ་གནས་པའི་གང་ཟག
重,དྲག་པོ
精血不淨所生,ཁུ་བ་དང་ཁྲག་མི་གཙང་བ་ལས་སྐྱེ་བ
勝義諦義,དོན་དམ་པའི་བདེན་པའི་དོན
非所作加行,བྱ་བ་མེད་པའི་སྦྱོར་བ
漸次變壞分位,རིམ་གྱིས་རྣམ་པར་གྱུར་པའི་གནས་སྐབས
能達,རྟོགས་པར་བྱེད་ནུས་པ
悲願力,སྨོན་ལམ་བཏབ་པ
正受學,ཡང་དག་པར་བླངས་ཏེ་འདུག་པ
當搦殺,གནོད་པ་བྱས་ཏེ་གསད་པར་བྱ
不斷因,སྤོང་བའི་རྒྱུ་མ་ཡིན་པ
未生善法,དགེ་བའི་ཆོས་མ་སྐྱེས་པ
奉事如來,དེ་བཞིན་གཤེགས་པ་ལ་བསྙེན་བཀུར་བྱེད་པ
滿,མཐར་ཕྱིན་པ
親里,ཉེ་དུ
信解,མོས་པ་ལས་བྱུང་བ
非證得,རྟོག་པ་མ་ཡིན་པར་གྱུར་པ
清淨色,གཟུགས་དང་བ
最極廣大,མཆོག་ཏུ་རྒྱ་ཆེ་བ
諂曲者,ག-ཡོན་ཅན
無我似我而顯現,བདག་མེད་པ་ལ་བདག་ལྟ་བུར་སྣང་བ
賜與,བྱིན་པ
損減執,ཆུད་གཟོན་པར་བྱེད་པ
知報恩,བྱས་པ་ཚོར་བ
白衣光,སྣམ་བུ་དཀར་པོ་སྣང་བ
已能厭壞,སུན་ཕྱིན
擧心,སེམས་རབ་ཏུ་བཟུང་བ
所作決定,ངེས་པར་བྱེད་པ
最勝,མཆོག་ཏུ
怨品,མི་མཛའ་བའི་ཕྱོགས
順,ལྡན་པ
受生,མངོན་པར་གྲུབ་པ
非理尋思,ཚུལ་བཞིན་མ་ཡིན་པར་རྟོག་པ
有加行行,སྦྱོར་བ་ལས་བྱུང་བའི་སྤྱོད་པ
遍體,སྙིང་ཐག་པ་ནས
因性義,རྒྱུའི་རང་བཞིན་གྱི་དོན
守根門者,དབང་པོའི་སྒོ་བསྲུངས་པ
現親友事,མཛའ་བཤེས་ཉིད་དུ་སྟོན་པའི་གཞི
麁,སྦོམ་པོ
雙運轉道,ཟུང་དུ་འབྲེལ་བའི་ལམ
眞實,ཡང་དག་པ
八部衆,འཁོར་བརྒྱད
盡,ཇི་སྲིད་པ
性相實有,ཡོངས་སུ་གྲུབ་པའི་མཚན་ཉིད
奪他物,གཞན་དག་ལས་ཕྲོགས་པ
歸趣事,སྐྱབས་སུ་འགྲོ་བའི་དངོས་པོ
廣大祿位,བྱ་དགའ་ཆེན་པོ
安養,ཡོངས་སུ་བསྲུང་བ
縁總法,འདྲེས་པའི་ཆོས་ལ་དམིགས་པ
暴亂,འཁྲུལ་བ
一間者,བར་ཆད་གཅིག་པ
無上菩提勝解,བླ་ན་མེད་པའི་བྱང་ཆུབ་ལ་མོས་པ
生死大牢獄,ཁོར་བའི་བཙོན་ར
事,དགའ་མགུར་སྤྱད་པ
精進勇猛,བརྩོན་འགྲུས་རྩོམ་པ
勝義智,དོན་དམ་པ་ཤེས་པ
觀察相,སོ་སོར་རྟོག་པའི་མཚན་མ
所依義,རྟེན་གྱི་དོན
無所有處欲,ཅི་ཡང་མེད་པའི་སྐྱེ་མཆེད་ཀྱི་འདོད་ཆགས
不正尋思,རྟོག་པ་ངན་པ
侵惱,གནོད་པ
善達瑜伽,རྣལ་འབྱོར་ཤེས་པ
多分,ཤས་ཆེ་བ
眼觸,མིག་གི་འདུས་ཏེ་རེག་པ
斷截,བཅད་པ
更,གོང་དུ
洪爛,སྨིན་པ
感善趣異熟,བདེ་འགྲོར་རྣམ་པར་སྨིན་པ
經爾所時,དུས་ཅིག་གིས
欲造論,བསྟན་བཅོས་ཉེ་བར་སྦྱོར་བར་འདོད་པ
廣慧,ཤེས་རབ་ཡངས་པ
樂速通行,མངོན་པར་ཤེས་པ་མྱུར་བ་སླ་བའི་ལམ
計爲功徳,ཡོན་ཏན་གྱི་བློ
一切門愛語,ཐམས་ཅད་ཀྱི་སྒོ་ནས་སྙན་པར་སྨྲ་བ
根本事依處,དངོས་གཞིའི་དངོས་པོའི་དབང་དུ་བྱ་བ
闇鈍,བུལ་བ
追訪,ཡོངས་སུ་ཚོལ་བ
種種自體生,ལུས་སྣ་ཚོགས་འགྲུབ་པ
不現見義,དོན་ལྐོག་ཏུ་གྱུར་པ
死生智通,འཆི་འཕོ་དང་སྐྱེ་བ་མངོན་པར་ཤེས་པ
如實,དེ་བཞིན
詭詐,ཚུལ་འཆོས
無諂僞,ག-ཡོ་མེད་པ
殘害,གསོད་པར་བྱེད་པ
眷屬所隨逐,འཁོར་གྱི་རྗེས་སུ་སོང་བ
神通威力,མངོན་པར་ཤེས་པའི་མཐུ
標説,དན་རྟགས
喜悦心,སེམས་མངོན་པར་རབ་ཏུ་དགའ་བ
能生,མངོན་པར་འགྲུབ་པར་འགྱུར་བ
美妙言説,བཀའ་བློ་བདེ་བ་ཉིད
受用,ཟོས་པ
住光明想,སྣང་བའི་འདུ་ཤེས
求食,ཟས་འདོད་པ
永滅,འགག་པར་འགྱུར་བ
通達眞實,དེ་ཁོ་ན་རབ་ཏུ་རྟོགས་པ
所纒,ཀུན་ནས་དཀྲིས་པ
趣入,འཇུག་པ
見礙,སྣང་བ་ལ་བགེགས་བྱེད་པ
不捨,གཏེར་དུ་སྦེད་པ
圓滿,ཡོངས་སུ་རྫོགས་པར་བྱེད་པ
除災生,གནོད་པ་ཡང་དག་པར་ཞི་བར་བྱེད་པའི་སྐྱེ་བ
幼童,གཞོན་ནུ
臨終時最後念心,འཆི་ཀའི་སེམས་ཐ་མ
調練,མངོན་པར་གདུང་བར་བྱེད་པ
未嘗差違,དོར་མི་བྱེད་པ
希求諸欲及受用,འདོད་པའི་ལོངས་སྤྱོད་དོན་དུ་གཉེར་བ
念,ཁྱབ་པར་བྱས་ནས
不難辛住清淨,ཚེགས་མེད་པར་གནས་པས་རྣམ་པར་དག་པ
善行,དགེ་བའི་སྤྱོད་པ
受極樂,བདེ་བ་ལ་ལོངས་སྤྱོད་པ་མཆོག་ཡིན་པ
無苦無樂,སྡུག་བསྔལ་ཡང་མ་ཡིན་པ་བདེ་བ་ཡང་མ་ཡིན་པ་དང་ལྡན་པ
此因此縁,རྒྱུ་དེ་དང་རྐྱེན་དེས
新所作業,གསར་དུ་ལས་བྱེད་པ
應習,སོ་སོར་བསྟེན་པ
已得自在,དབང་ཐོབ་པ
行邪惡徑,ལམ་ངན་པར་འགྲོ་བ
所制伏,ཚར་གཅོད་པ
喜染,ཡི་བདེ་བ་ཉོན་མོངས་པ་ཅན
行苦,འདུ་བྱེད་ཀྱི་སྡུག་བསྔལ་ཉིད
先所受,སྔོན་ཉམས་སུ་མྱོང་བ
一切行,འདུས་བྱས
一切時,དུས་ཐམས་ཅད་པ
常守尸羅,ངེས་པའི་ཚུལ་ཁྲིམས་ཅན
鬪,འཐབ་ཀྲོལ་བྱེད་པ
難識義,རྣམ་པར་ཤེས་པར་དཀའ་བའི་དོན
未頓盡,མ་ལུས་པར་འཇིག་པར་མི་འགྱུར་བ
梵王,ཚངས་པ
障,བར་དུ་གཅོད་པར་འགྱུར་བ
三寶,དཀོན་མཆོག་གསུམ
無家,ཁྱིམ་ན་མི་གནས་པ
堪忍,བརྟན་པ་དང་ལྡན་པ
大衆,འཁོར
異不異性,ཐ་དད་པ་དང་ཐ་དད་པ་མ་ཡིན་པ
惡作纒,འགྱོད་པའི་ཀུན་ནས་དཀྲིས་པ
山岳,རི་ཁྲོད
自在煩惱,རང་དབང་ཅན་གྱི་ཉོན་མོངས་པ
覺諸觸,རེག་བྱ་དག་རེག་པར་འགྱུར་བ
掌護,བསྲུང་བ
損惱欲解,གནོད་པའི་བསམ་པ
具足,ཕུན་སུམ་ཚོགས་པ་གྱུར་པ
如實觀見,ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་མཐོང་བ
大乘補特伽羅,ཐེག་པ་ཆེན་པོ་པ
内持心,སེམས་ནང་དུ་རབ་ཏུ་གཏོད་པ
養育,གསོས་པ
諂曲,ག-ཡོ་བྱེད་པ
相雜住,འདྲེ་བར་གནས་པ
皰那落迦,ཆུ་བུར་ཅན་གྱི་སེམས་ཅན་དམྱལ་བ
未極増長,ཡོངས་སུ་མ་བརྟས་པ
身光,ལུས་འོད
軟觸貪,འཇམ་ཞིང་རེག་ན་བདེ་བ་ལ་ཆགས་པ
害除怨敵,དགྲ་རྣམས་ངེས་པར་བསྡ་པ
行清淨,སྒྲུབ་པ་རྣམ་པར་དག་པ
等受者,ཉམས་སུ་མྱོང་བ་པོ
能正諌,སྐུལ་བར་བྱེད་པ
無癡,རྨོངས་པ་མེད་པ
一切行愚,འདུ་བྱེད་ཐམས་ཅད་ལ་རྨོངས་པ
居異生位者,སོ་སོའི་སྐྱེ་བོ་པ
相壞轉相,སྐད་ཅིག་ལ་འཇིག་ཅིང་འཇུག་པའི་མཚན་ཉིད
知法,ཆོས་རྟོགས་པ
八時,དུས་བརྒྱད
乳酪,དར་བ
不寂靜苦,ཉེ་བར་མ་ཞི་བའི་སྡུག་བསྔལ
不記別,ལན་མི་འདེབས་པ
有心行,སེམས་དང་བཅས་པའི་སྤྱོད་པ
得勝,རྒྱལ་བ
於正寒時,གྲང་བའི་དུས་ལ་བབ་པའི་ཚེ་ན
證清淨,རྟོགས་པ་དག་པ
宣説正法,དམ་པའི་ཆོས་བཤད་པ
奴婢,བྲན
有業用,ལས་དང་བཅས་པ
圓布,ཚང་བར་བཀྱེ་བ
心無忘失,བརྗེད་ངས་པ་མེད་པའི་སེམས
極勇猛經三大劫阿僧企耶,གྲངས་མེད་པ་གསུམ་གྱིས་ཡང་དག་པར་བསྒྲུགས་པ
受持,བཟུང་ཞིང
是故,དེའི་ཕྱིར
性失壞,རང་བཞིན་ལས་ཉམས་པ
所施設,བཏགས་པ
悟解,ཀུན་ཤེས་པ
多尋思行補特伽羅,གང་ཟག་རྣམ་པར་རྟོག་པ་སྤྱད་པ
攝益身心,ལུས་དང་སེམས་ལ་ཕན་འདོགས་པ
非有果法,འབྲས་བུ་དང་བཅས་པ་མ་ཡིན་པ་རྣམས
雜染行,ཀུན་ནས་ཉོན་མོངས་པའི་སྤྱོད་པ
能正問訊,ལེགས་པར་སྨྲ་བར་བྱེད་པ
最極微細煩惱及所知障,ཉོན་མོངས་པ་དང་ཤེས་བྱའི་སྒྲིབ་པ་ཤིན་ཏུ་ཕྲ་མོ
控弦,གཞུ་དགང་བ
不平和,མ་སྙོམས་པ
由前所説,ཇི་སྐད་བསྟན་པ
隨道行,ལམ་གྱི་རྗེས་སུ་འགྲོ་བ
高擧,འགྱིང་བ
不相續,རྒྱུན་འཆད་པར་འགྱུར་བ
能引無義,གནོད་པ་དང་ལྡན་པ
所持行,དབང་དུ་གྱུར་པ
廣大福徳資糧,བསོད་ནམས་ཀྱི་ཚོགས་ཆེན་པོ
轉輪王,འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་སྲིད
釋,བསྟན་པ
佛事,སངས་རྒྱས་ཀྱི་ཕྲིན་ལས
懈怠,སྙོམ་ལས
處非處攝,གནས་དང་གནས་མ་ཡིན་པ་བསྡུ་བ
堅住不忘倍修増廣,གནས་པ་དང་མི་བསྐྱུད་པ་དང་སླར་ཞིང་འབྱུང་བ་དང་འཕེལ་ཞིང
出家者,རབ་ཏུ་བྱུང་བ
精懇,ཤིན་ཏུ
加行究竟作意,སྦྱོར་བའི་མཐར་ཐུག་པའི་ཡིད་ལ་བྱེད་པ
定地色愛諸業,མཉམ་པར་གཞག་པའི་ས་པའི་གཟུགས་ལ་སྲེད་པ་དང་ལས
轉變,རྣམ་པར་གྱུར་པ
燒然,གདུངས་པར་འགྱུར་བ
無上大菩提果,བླ་ན་མེད་པའི་བྱང་ཆུབ་ཆེན་པོའི་འབྲས་བུ
設利羅供養,སྐུ་ལ་མཆོད་པ
老,སྐྲ་དཀར་བ
善得,ལེགས་པ་རྙེད་པ
處居家,ཁྱིམ་ན་གནས་པ
地義,སའི་དོན
被輕蔑不生忿慼,མཚང་བྲུས་ཀྱང་མཚང་འབྲུ་བར་མི་བྱེད་པ
尚---況,ལྟ་ཅི་སྨོས
告---曰,བཀའ་སཚལ་པ
最靜,རབ་ཏུ་ཞི་བ
眞如種性,དེ་བཞིན་ཉིད་ཀྱི་རིགས་ཅན
不淨物,དངོས་པོ་མི་གཙང་བ
清淨増上意樂加行,ལྷག་པའི་བསམ་པ་དག་པའི་སྦྱོར་བ
國人,ཡུལ་གྱི་མི
好,དགའ་བ
恨,ཁོན་དུ་འཛིན་པ
花鬘,མེ་ཏོག་ཕྲེང་བ
強盛依附相續,ཡོངས་སུ་བརྟས་པ་རྟེན་ལ་གནས་པ
視,རྟོག་པར་བྱེད་པ
令---向下,ཐུར་དུ་བསྟན་པ
求覓,ཡོངས་སུ་ཚོལ་བར་བྱེད་པ
隨所聞,ཇི་སྐད་ཐོས་པ
善行,དགེ་བ་སྤྱོད་པ
迭相依護,གཅིག་གིས་གཅིག་བསྲུངས་བ
